#!/bin/sh
#
# We use 3 sources of data:
# (  i) The latest adopted NNDC online
# ( ii) J. Britz,* A. PAPE,† and M. S. ANTONY‡, Atomic Data and Nuclear Data Tables 69 (1998) p.125
# (iii) The most latest published data
#
# Source ( i): 
#           Nuclei Mass Excess: 
#                     http://www.nndc.bnl.gov/masses/mass.mas03
#
#           Adopted Excited levels: 
#               Evaluated Nuclear Structure Data File (ENSDF)
#                     Database version of May 9, 2011
#               Experimental Unevaluated Nuclear Data List (XUNDL)
#                     Database version of May 16, 2011
#                     http://www.nndc.bnl.gov/ensdf
#
# Source ( ii): 
#    Atomic Data and Nuclear Data Tables 69 (1998) p.125
#
#    J. BRITZ,* A. PAPE,† and M. S. ANTONY‡
#
#    Institut de Recherches Subatomiques et Universite´ Louis Pasteur, 67037 Strasbourg Cedex 2, France
#    ABCcoefficients of the Isobaric Mass Equation and Their Correlations with Various Nuclear Parameters
#
# Source (iii): 
#    
#    
#A  2*J P   Nucl. Tz  Mass Excess (keV)     Nucl. Tz  Mass Excess (keV)     Nucl.  Tz  Mass Excess (keV)      Ex (keV)      b (keV)                 c (keV)
 
 6
     0   +   He       17592.8000   0.419    Li       17649.7590   0.100    Be       18375.0330   5.448        0       -391.116500000000087    2.732044335292022        334.157479999998031    2.733874238603812
     4   +   He       19389.8000  25.004    Li       19452.8790  15.000    Be       20045.0330  50.296     1757       -327.616500000000087   28.084053593631715        264.537479999999050   31.838876681699045
 
 
 8
     2   +   Li       21926.5970   0.110    Be       22581.6710   1.001    B        23691.0770   2.693      584       -882.240000000001601    1.347424302141267        227.165999999997439    1.678325728217679
     6   +   Li       23200.7970   3.000    Be       24010.6710  10.000    B        25241.5770  20.025     2002      -1020.390000000001237   10.124255639305774        210.515999999997803   14.230311916820282
 
 
10
     0   +   Be       12607.4730   0.081    B        13790.7790   0.388    C        15698.6830   0.403        0      -1545.605000000000473    0.205529803191788        362.299000000001797    0.439133806487323
     4   +   Be       15975.5030   0.086    B        17214.6290   0.713    C        19052.3830   0.723     3382      -1538.440000000000509    0.363960849542647        299.314000000000306    0.800914165189531
 
 
12
     2   +   B        13368.8990   1.400    C        15110.0000   3.000    N        17338.0810   1.000        0      -1984.590999999999440    0.860232526704115        243.489999999998872    3.120897306865406
     4   +   B        14322.0390   1.523    C        16105.8000   0.700    N        18298.0810  12.042      970      -1988.020999999999731    6.068772528280134        204.259999999999309    6.109009739721215
     4   -   B        15042.5490   1.523    C        16570.0000 150.000    N        18529.0810   8.062     1442      -1743.265999999999622    4.102438299352555        215.814999999998690  150.056089513221679
     2   -   B        15989.6990   1.844    C        17230.0000 565.000    N        19138.0810  30.017     2181      -1574.190999999998894   15.036621961066194        333.889999999999418  565.200053078553765
     0   +   B        16091.8990  11.089    C        17760.0000  20.000    N        19777.0810   9.055     2604      -1842.590999999999440    7.158212067269626        174.489999999998872   21.242410409367494
 
 
14
     0   +   C         3019.8928   0.004    N         5176.2147   0.011    O         8007.4570   0.110        0      -2493.782105000000229    0.055032121528987        337.460184999999910    0.056121034380976
     2   -   C         9113.6928   0.200    N        10925.4167   1.000    O        13180.4570  10.001     5673      -2033.382104999999683    5.001302683741705        221.658185000001140    5.100296910033929
     0   +   C         9609.2928   0.200    N        11481.4167   2.000    O        13927.4570  10.001     6272      -2159.082105000000411    5.001302683741705        286.958185000000412    5.386374343703312
     6   -   C         9748.0928   1.300    N        11770.4167   3.000    O        14279.4570  10.001     6532      -2265.682105000000774    5.042373303753148        243.358185000000049    5.867327208406375
     4   +   C        10031.8928   4.000    N        12035.6667   0.120    O        14597.4570  10.001     6821      -2282.782105000000229    5.385445992153384        279.008185000000594    5.386782766225214
     4   +   C        11337.7928   0.800    N        13295.4167   7.000    O        15775.4570  10.001     8069      -2218.832105000000411    5.016276361446001        261.208185000000412    8.611795896937672
 
 
16
     0   -   N         5804.0790   2.625    O         8058.9986   4.000    F        10680.2540   8.321       41      -2438.087500000000546    4.362577363210803        183.167910000000120    5.918790524726832
     4   -   N         5683.6590   2.622    O         8231.5986   0.400    F        11104.2540   9.708      199      -2710.297500000000582    5.027771002144462        162.357909999998810    5.043657529571587
     2   -   N         6080.9290   2.624    O         8352.9986   8.000    F        10873.2540  10.259      295      -2396.162500000000364    5.294429265747535        124.092910000001211    9.593277921316329
     6   -   N         5981.8790   2.623    O         8521.9986   2.000    F        11401.2540   9.232      495      -2709.687500000000455    4.798966685652309        169.567910000001120    5.199046189023283
     2   +   N         9036.6590   3.984    O        11471.9986   2.000    F        14438.2540  10.259     3508      -2700.797500000000582    5.502588595379723        265.457910000000993    5.854782769292112
     4   +   N         9206.6590   3.984    O        11705.2986   1.600    F        14550.2540  10.259     3680      -2671.797500000000582    5.502588595379723        173.157910000001721    5.730487001608492
     3   +   N         9646.6590   3.984    O        12079.9986   2.000    F        15052.2540  10.259     4119      -2702.797500000000582    5.502588595379723        269.457910000000993    5.854782769292112
     2   +   N        10003.6590   3.984    O        12402.9986  10.000    F        15334.2540  10.259     4440      -2665.297500000000582    5.502588595379723        265.957910000000993   11.413959929648184
 
 
18
     0   +   O         -782.8156   0.001    F         1914.6630   0.470    Ne        5317.6240   0.364        0      -3050.219794999999976    0.182000346221987        352.741204999999809    0.503878086470156
     4   +   O         1199.2544   0.090    F         3934.9530   0.497    Ne        7204.9240   0.415     1964      -3002.834794999999758    0.212483237044510        267.136204999999336    0.540294480838732
     8   +   O         2772.0244   0.400    F         5525.1130   2.053    Ne        8693.8240   0.541     3514      -2960.899795000000267    0.336339301933453        207.811204999999973    2.080262754082602
